brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
ASUS,"14"", 2880 x 1800px",Intel Core i7-11370H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),5.599
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 9 5900HS,16,512 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),9.999
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA Quadro T1000,Windows 10 Professional,5.949
APPLE,"13.3"", 2560 x 1600px",Apple M1,8,512 GB SSD,Apple M1 (8 rdzeni),macOS Big Sur,6.706
HP,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,5.799
ACER,"15.6"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,32,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.349
LG ELECTRONICS POLSKA SP. Z O.O.,"17"", 2560 x 1600px, 60Hz",Intel Core i7-1165G7,16,1000 GB SSD,Intel Iris Xe Graphics,Windows 11 Home,6.599
ASUS,"16"", 1920 x 1200px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),8.399
HP,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.699
DELL,"15.6"", 1920 x 1080px, 165Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 11 Professional,7.899
DELL,"14.5"", 2560 x 1600px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.599
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,6.319
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Brak,6.999
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,3.29
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,Windows 11 Home,3.099
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 11 Home,3.199
ASUS,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 11 Home,5.599
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,4.399
HP,"16.1"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.199
PRESTIGIO,"14.1"", 1366 x 768px, 60Hz",AMD A4-9120e,4,128 GB Flash,AMD Radeon R3,Windows 10 Professional,1.499
ACER,"16"", 2560 x 1600px, 165Hz",Intel Core i9-11900H,16,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 10 Home,14.499
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,5.399
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home,4.999
ACER,"15.6"", 3840 x 2160px, Ekran dotykowy, 60Hz",Intel Core i7-11800H,64,1000 GB SSD,NVIDIA RTX A5000,Windows 11 Professional,15.649
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.414
ACER,"16"", 2560 x 1600px, 240Hz",Intel Core i9-12900H,16,2000 GB SSD,NVIDIA GeForce RTX 3080 Ti,Windows 11 Home,20.799
ACER,"16"", 2560 x 1600px, 240Hz",Intel Core i9-12900H,16,1000 GB SSD,NVIDIA GeForce RTX 3080 Ti,Windows 11 Home,19.899
MSI,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3070,Brak,7.499
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.799
ACER,"17.3"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.649
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,3.624
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2080 Super Max-Q,Brak,9.099
ASUS,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
MICROSOFT,"13.5"", 2256 x 1504px, Ekran dotykowy, 60Hz",Intel Core i5-1145G7,8,512 GB SSD,Intel Iris Plus Graphics 950,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.699
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,8,512 GB SSD,NVIDIA GeForce MX330,Windows 10 Home,4.299
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11260H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Linux,4.499
LENOVO,"15.6"", 1920 x 1080px, 120Hz",Intel Core i7-11370H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.604
